喰	〔口捺ᴴ¦oh〕
吋	〔口寸¦ok〕
榱	〔木捺ᴴ¦wh〕
缞	〔纟捺ᴴ¦eh〕
辞	〔千十¦ss〕
汆	〔入水¦eo〕
肏	〔入人¦ee〕
艸	〔折ᴿ竖ᵖ¦rp〕
龘	〔立三¦bu〕
龖	〔立三¦bu〕
褡	〔衤口¦ho〕
瘩	〔疒口¦mo〕
怛	〔忄横ᴰ¦nd〕
笪	〔竹横ᴰ¦nd〕
答	〔竹口¦no〕
炟	〔火横ᴰ¦td〕
大	〔大大¦xx〕
到	〔横ᴰ刂¦di〕
盗	〔冫皿¦fa〕
蹈	〔足臼¦gs〕
祷	〔礻寸¦hk〕
刀	〔刀刀¦ii〕
捯	〔扌刂¦ji〕
捣	〔扌山¦jp〕
忉	〔忄刀¦ni〕
悼	〔忄十¦ns〕
鱽	〔鱼刀¦qi〕
氘	〔气竖ᵖ¦sp〕
舠	〔舟刀¦ti〕
导	〔巳寸¦tk〕
倒	〔亻刂¦xi〕
帱	〔巾寸¦yk〕
歹	〔歹歹¦ff〕
埭	〔土氺¦go〕
待	〔彳寸¦hk〕
怠	〔厶心¦pn〕
戴	〔十八¦sf〕
轪	〔车大¦tx〕
垈	〔亻土¦xg〕
袋	〔亻衣¦xk〕
贷	〔亻贝¦xm〕
黛	〔亻灬¦xn〕
傣	〔亻氺¦xo〕
岱	〔亻山¦xp〕
骀	〔马口¦zo〕
带	〔带巾¦zy〕
镫	〔钅横ᴰ¦dd〕
澄	〔氵横ᴰ¦kd〕
邓	〔又阝¦lb〕
嶝	〔山横ᴰ¦pd〕
磴	〔石横ᴰ¦td〕
垱	〔土彐¦gs〕
裆	〔衤彐¦hs〕
当	〔尚彐¦hs〕
砀	〔石撇ᵁ¦tu〕
荡	〔艹撇ᵁ¦zu〕
玓	〔王捺ᴴ¦ah〕
诋	〔讠捺ᴴ¦ch〕
骶	〔骨捺ᴴ¦ch〕
翟	〔习龶¦da〕
髢	〔横ᴰ折ᴿ¦dr〕
鍉	〔全人¦ee〕
羝	〔丷捺ᴴ¦fh〕
弟	〔丷撇ᵁ¦fu〕
堤	〔土人¦ge〕
踶	〔足人¦ge〕
蹢	〔足口¦go〕
坻	〔土捺ᴴ¦gh〕
地	〔土折ᴿ¦gr〕
滴	〔氵口¦ko〕
笛	〔竹竖ᵖ¦np〕
睇	〔目撇ᵁ¦su〕
砥	〔石捺ᴴ¦th〕
䃅	〔石十¦ts〕
氐	〔撇ᵁ捺ᴴ¦uh〕
鞮	〔廿人¦ve〕
柢	〔木捺ᴴ¦wh〕
棣	〔木氺¦wo〕
杕	〔木大¦wx〕
低	〔亻捺ᴴ¦xh〕
俤	〔亻撇ᵁ¦xu〕
嫡	〔女口¦yo〕
娣	〔女撇ᵁ¦yu〕
媂	〔女巾¦yy〕
茋	〔艹捺ᴴ¦zh〕
菂	〔艹捺ᴴ¦zh〕
聃	〔横ᴰ日¦dg〕
耽	〔横ᴰ儿¦dk〕
郸	〔丷阝¦fb〕
亶	〔亠横ᴰ¦id〕
澹	〔氵言¦kc〕
淡	〔氵火¦kt〕
胆	〔月横ᴰ¦ld〕
膻	〔月横ᴰ¦ld〕
疸	〔疒横ᴰ¦md〕
蛋	〔折ᴿ虫¦rf〕
眈	〔目儿¦sk〕
丹	〔周亠¦oi〕
丼	〔二捺ᴴ¦uh〕
儋	〔亻言¦xc〕
妉	〔女儿¦yk〕
订	〔讠丁¦cj〕
